,LOAD_HIT_PRE:SW_PF,RESOURCE_STALLS:ANY,RESOURCE_STALLS:ROB,RESOURCE_STALLS:RS,RESOURCE_STALLS:SB,RS_EVENTS:EMPTY_CYCLES,RS_EVENTS:EMPTY_END,UOPS_DISPATCHED:PORT_0,UOPS_DISPATCHED:PORT_1,UOPS_DISPATCHED:PORT_2,UOPS_DISPATCHED:PORT_3,UOPS_DISPATCHED:PORT_4,UOPS_DISPATCHED:PORT_5,UOPS_DISPATCHED:PORT_6,UOPS_DISPATCHED:PORT_7
ExaMiniMD,0.0,1.053858026620885,0.3632743852849756,0.3008944256291085,0.01162044968160044,0.026701513343395118,0.0023977514632311124,2.50825314612065,3.0740864935974725,3.137370741877422,2.6063420575042264,1.0851714567080772,1.4926637024988012,1.2025201701596135,0.472726514978212
LAMMPS,3.1387172943068626e-11,0.5359190225420178,0.009001525006519854,0.2378002295741967,0.012130658507240329,0.020756066799618462,0.001489441252788757,1.3630452707738825,1.250783721764919,1.6042548876698997,1.4547556919197562,0.6559677414831291,0.7959436626493315,0.6295041118181549,0.3526823980479241
sw4lite,1.2643632594145476e-10,0.08671473614918605,0.005485883153860223,0.034830140116119804,0.02697787703528693,0.028650730345429063,0.001001028326257098,0.2339229958669445,0.2294751301496875,0.1787925710541308,0.1760612580749781,0.09516292373744267,0.03817611388779271,0.06929934283306803,0.05883311422440631
sw4,1.9810069529814994e-11,0.12282890251178374,0.0067583880115653396,0.036366418116739636,0.04777530441625937,0.04807585818581261,0.0014941011088645875,0.36399171005604936,0.3833510284261372,0.3472181484287749,0.31861407582584844,0.1926896551045385,0.04721713001442136,0.08691875107710265,0.11523558010474515
SWFFT,0.00015742868887243296,0.16729397606855725,0.00065787678276335,0.052407124942229856,0.09660654421891914,0.0998748932966212,0.002634729067766176,0.0977791630899144,0.11910874360266553,0.11517775043155545,0.10834972728985603,0.06905778754723907,0.09013962577673534,0.15611286512585315,0.04010142719686307
HACC,0.0002075720965881781,0.2651498488633772,0.027841360906173302,0.0635610004002711,0.1451595742583221,0.1251472437876505,0.004746794799772635,0.4031147231916759,0.1820458155049144,0.2886606270996036,0.2926830616175217,0.1929109828595571,0.3937624916416391,0.21634174108452728,0.09067877376357944
MiniQMC,0.00012197045059815659,0.14458433800348974,0.0052836927108337135,0.019684378163419287,0.01200926446379498,0.03769169801087432,0.0012094846657960405,0.03728702747230474,0.037294562685645606,0.023644493783521108,0.024821975839303876,0.020028066840098904,0.02753214977539661,0.04030503012899557,0.008397492986448617
QMCPack,0.0002060581891924497,0.3855824145295596,0.006278392474972728,0.13475422771678655,0.020873045899155156,0.030288432244605087,0.0022725368157759497,0.09148924156121148,0.06694332605235064,0.10647405289659376,0.10041590282357768,0.06818322551195166,0.08214787780431802,0.1198328672337023,0.05403295829372808
miniVite,4.237447690948147e-08,0.32032899431243045,0.03968759507255249,0.108578772483883,0.01493059341151489,0.024616124978397196,0.002968521341812352,0.06105271272201256,0.06810400923481387,0.1028823313675094,0.10119953017703667,0.08143024868882999,0.05855612459140304,0.12222865720764035,0.056218325354467455
vite,3.0115357275047387e-12,0.673204386744782,0.008734118563033803,0.28817146991577136,0.0005283361869430097,0.02120151305260052,0.0023448092423980363,1.2314290417463691,2.076965298869116,1.7240127366079343,1.5727553654573991,0.4083733983538708,0.36066176455585297,0.6631368502894225,0.3164196432976637
Nekbone,0.0017895692250817453,0.908412676929056,0.09783665227669776,0.18855021513223705,0.07487149440095213,0.17006338059339798,0.0035536755332450853,0.5775498433986271,0.4829950903653641,0.432875763730504,0.400919848942818,0.19537976489985548,0.12466902424861713,0.12853123742090314,0.06827206748134662
Nek5000,3.727540774266226e-06,0.3722721375200413,0.007364830019974893,0.09686135529348268,0.04182148570055864,0.05825006804320203,0.005430740970786739,0.16196497325465206,0.16344440766595886,0.2424688179070881,0.2023199249808325,0.131360537843186,0.060788586454921925,0.10074480052405173,0.041828931835258536
XSBench,9.444367952245564e-05,2.1844470867713786,0.2419431580848574,1.3141829253076494,0.002971375211830856,0.0917381952349555,0.008500857495600762,0.33152073832120504,0.2827484952393517,0.1838228608334828,0.1679514284220747,0.09918366903374984,0.13205908121873458,0.1717344828871631,0.05385083932177672
openmc,8.703107351946613e-06,2.7205103358423166,0.6328187371966447,0.012645715787930464,0.2065757541799396,0.24865778911232506,0.01285071861305089,0.7442576122480755,0.741479955026261,1.38263639526254,1.5246755900980908,1.5666656376410335,0.36187621305500894,0.28027457921202803,0.1198711462165623
picsarlite,0.0003341411651184246,1.2663867528629995,0.09802066325061044,0.2855286574972484,0.15159306465487524,0.2558317677210502,0.018188224931764536,1.761564053396895,1.919397905354052,1.7111455271361171,1.5580425911646816,0.7014617829476839,0.7629807528749352,0.7795711582110633,0.25488804260378883
picsar,0.00022314834445878647,0.45564983987474,0.05407672698722616,0.0949139152394808,0.0727787354377169,0.1012985041878066,0.005555418696295151,0.4530891305402093,0.4818399811477054,0.4345635368909898,0.39202326119001774,0.19888442069683412,0.18107228086264968,0.21914607823112475,0.09462722627757247
amg2013,4.23949876687709e-07,0.1743816011000053,0.012192825985980885,0.02393267054483806,0.048319503370887085,1.6388059297280702,0.0946497954260781,1.999374929236281,2.4083335556897723,3.366566963288671,2.9464111558496437,2.0450151657252533,1.5348103179710242,3.3164490120688974,1.2404560020290778
Castro,7.934995649237997e-12,0.21561091673989155,0.049782934763036614,0.054895266670178924,0.08514967355975273,0.13403969820191064,0.004525903149628532,0.38770986540282654,0.4481987125538424,0.3449689251934188,0.3287219683770847,0.22345731274304628,0.26035741594322903,0.2041453868661413,0.08687820780990521
Laghos,6.831716083932054e-05,1.842696837571737,0.1267860476923685,0.37043854045859204,0.3651811383108168,0.4812380370551914,0.0393463168323718,2.8832861282298508,3.1642095377772157,2.4327677734902515,2.276118886200305,1.1943517391837648,1.0332792736220473,1.2467951986733297,0.4754345300345889
pennant,1.3031630036402222e-06,0.9579398947136294,0.08739036832855128,0.2176904602475461,0.1906006033452752,0.17299953293067927,0.00783050335117618,1.1205937889424378,0.626708736047128,1.2770696958839856,1.198123521734854,0.3532306966093355,0.8037414807018577,0.5049353931125393,0.08075536863548907
snap,1.1087998383319827e-09,0.3232883407880118,0.05345071882122157,0.02214715255292777,0.04119785603652477,0.09456692920722988,0.003618747671762218,0.785089075995103,0.8345775109685654,1.1079031444555192,1.03386603232538,0.5168187211504995,0.377174680491694,0.5364132922230793,0.09358990610241737
hpcc_dgemm,0.0006857756570455269,0.5041014950654684,0.035000371644273734,0.060942634407111465,0.011178284459171193,0.05472984232182687,0.003170244486254349,4.783358241224566,0.2904750264928108,2.2734314270571403,2.004754104612751,0.07902750949145622,2.875748839505768,0.1339181547649584,0.040771311453003375
hpcc_random,3.800912038528443e-14,1.5362496044641816,0.1598830326747922,0.00517899353637961,0.19740440504548326,1.570374570725087,0.06186316904879319,1.3654254116921647,1.4719221102029632,2.278784759850591,2.054653390479296,1.9329888860896196,0.94366671877224,1.72971364302776,0.7947603321722653
hpcc_streams,0.017473500125809994,2.707191343721456,1.1381814680569076e-05,0.7119307055294162,1.5439080269591623,0.6041714929309284,0.024695220621511003,1.0514683417418969,0.9838555170940456,0.7582133391264998,0.7042529341328952,0.8233196995785462,0.2135798359502737,0.4541051840318091,0.18164888935886112
hpcg,9.690366330892442e-05,1.5712012180858401,0.005223876432995918,0.07191599312270218,0.0176494139997581,0.07706970985939163,0.007381745556861556,0.6171807163567082,0.5521725977784311,0.9436716654868031,0.8405134588940063,0.17569542546801364,0.3692308351975112,0.4375550010009091,0.08590163956312405
